Country,Life expectancy,ISO-code,Median age
Hong Kong,84.7,HKG,44.4
Japan,84.5,JPN,47.3
Singapore,83.8,SGP,34.6
Italy,83.6,ITA,45.5
Spain,83.4,ESP,42.7
Australia,83.3,AUS,38.7
Iceland,82.9,ISL,36.5
Israel,82.8,ISR,29.9
Sweden,82.7,SWE,41.2
France,82.5,FRA,41.4
Norway,82.5,NOR,39.2
Malta,82.4,MLT,41.8
Canada,82.3,CAN,42.2
Greece,82.1,GRC,44.5
Ireland,82.1,IRL,36.8
Luxembourg,82.1,LUX,39.3
Netherlands,82.1,NLD,42.6
New Zealand,82.1,NZL,37.9
Portugal,81.9,PRT,42.2
Andorra,81.8,AND,44.3
Finland,81.7,FIN,42.5
Belgium,81.5,BEL,41.4
Austria,81.4,AUT,44
Germany,81.2,DEU,47.1
Slovenia,81.2,SVN,44.5
United Kingdom,81.2,GBR,40.5
Cyprus,80.8,CYP,36.8
Denmark,80.8,DNK,42.2
Liechtenstein,80.5,LIE,43.2
Costa Rica,80.1,CRI,31.3
Chile,80,CHL,34.4
Czech Republic,79.2,CZE,42.1
Barbados,79.1,BRB,38.6
Lebanon,78.9,LBN,30.5
United States of America,78.9,USA,38.1
Cuba,78.6,CUB,41.5
Estonia,78.6,EST,42.7
Poland,78.5,POL,40.7
Croatia,78.3,HRV,43
Panama,78.3,PAN,29.2
Turkey,78.3,TUR,30.9
United Arab Emirates,77.8,ARE,30.3
Uruguay,77.8,URY,35
Oman,77.6,OMN,25.6
Slovakia,77.4,SVK,40.5
Bosnia and Herzegovina,77.3,BIH,42.1
Bahrain,77.2,BHR,32.3
Colombia,77.1,COL,30
Antigua and Barbuda,76.9,ATG,31.9
Thailand,76.9,THA,37.7
Ecuador,76.8,ECU,27.7
Montenegro,76.8,MNE,40.7
Sri Lanka,76.8,LKA,32.8
Algeria,76.7,DZA,28.1
China,76.7,CHN,37.4
Hungary,76.7,HUN,42.3
Argentina,76.5,ARG,31.7
Iran,76.5,IRN,30.3
Morocco,76.5,MAR,29.3
Peru,76.5,PER,28
Tunisia,76.5,TUN,31.6
Malaysia,76.1,MYS,28.5
Saint Lucia,76.1,LCA,34.8
Romania,75.9,ROU,41.1
Serbia,75.8,SRB,42.6
Brazil,75.7,BRA,32.6
Brunei,75.7,BRN,30.2
Lithuania,75.7,LTU,43.7
North Macedonia,75.7,MKD,37.9
Kuwait,75.4,KWT,29.3
Vietnam,75.3,VNM,30.5
Latvia,75.2,LVA,43.6
Honduras,75.1,HND,23
Mexico,75,MEX,28.3
Saudi Arabia,75,SAU,27.5
Armenia,74.9,ARM,35.1
Bulgaria,74.9,BGR,42.7
Mauritius,74.9,MUS,35.3
Belarus,74.6,BLR,40
Saint Kitts and Nevis,74.6,KNA,35
Belize,74.5,BLZ,22.7
Jamaica,74.4,JAM,26
Jordan,74.4,JOR,22.5
Nicaragua,74.3,NIC,25.7
Guatemala,74.1,GTM,22.1
Paraguay,74.1,PRY,28.2
Dominican Rep.,73.9,DOM,28.1
Marshall Islands,73.9,MHL,22.9
The Bahamas,73.8,BHS,32
Palau,73.7,PLW,33.4
Georgia,73.6,GEO,38.1
Trinidad and Tobago,73.4,TTO,36
Seychelles,73.3,SYC,35.4
Kazakhstan,73.2,KAZ,30.6
Samoa,73.2,WSM,24.4
El Salvador,73.1,SLV,27.1
Azerbaijan,72.9,AZE,32.3
Cape Verde,72.8,CPV,25.4
Solomon Islands,72.8,SLB,22.5
Libya,72.7,LBY,28.9
Grenada,72.4,GRD,31.5
Russia,72.4,RUS,39.6
Saint Vincent and the Grenadines,72.4,VCT,33.6
Bangladesh,72.3,BGD,26.7
Venezuela,72.1,VEN,28.3
Ukraine,72,UKR,40.6
Egypt,71.8,EGY,23.9
Moldova,71.8,MDA,36.7
Syria,71.8,SYR,24.3
Suriname,71.6,SUR,29.8
Bhutan,71.5,BTN,27.6
Indonesia,71.5,IDN,30.2
Uzbekistan,71.5,UZB,28.6
Kyrgyzstan,71.3,KGZ,26.5
Greenland,71.25,GRL,33.9
Bolivia,71.2,BOL,24.3
Philippines,71.1,PHL,23.5
Tajikistan,70.9,TJK,24.5
Tonga,70.8,TON,23
Iraq,70.5,IRQ,20
Nepal,70.5,NPL,24.1
Vanuatu,70.3,VUT,22
Sao Tome and Principe,70.2,STP,18.4
Guyana,69.8,GUY,26.2
Mongolia,69.7,MNG,28.3
Cambodia,69.6,KHM,25.3
India,69.4,IND,28.1
Botswana,69.3,BWA,24.5
East Timor,69.3,TLS,18.9
Rwanda,68.7,RWA,19
Kiribati,68.1,KIR,24.6
Turkmenistan,68.1,TKM,27.9
Micronesia,67.8,FSM,25.1
Senegal,67.7,SEN,18.8
Laos,67.6,LAO,23
Fiji,67.3,FJI,28.9
Pakistan,67.1,PAK,23.8
Madagascar,66.7,MDG,19.7
Djibouti,66.6,DJI,23.9
Ethiopia,66.2,ETH,17.9
Gabon,66.2,GAB,18.6
Yemen,66.1,YEM,19.5
Eritrea,65.9,ERI,19.7
Sudan,65.1,SDN,19.9
Tanzania,65,TZA,17.7
Mauritania,64.7,MRT,20.5
Afghanistan,64.5,AFG,27.4
Congo,64.3,COG,19.7
Papua New Guinea,64.3,PNG,23.1
Comoros,64.1,COM,19.9
South Africa,63.9,ZAF,27.1
Ghana,63.8,GHA,21.1
Malawi,63.8,MWI,16.5
Haiti,63.7,HTI,23
Liberia,63.7,LBR,17.8
Zambia,63.5,ZMB,16.8
Namibia,63.4,NAM,21.2
Kenya,63.3,KEN,19.7
Uganda,63,UGA,15.8
Niger,62,NER,15.4
The Gambia,61.7,GMB,21
Benin,61.5,BEN,18.2
Burkina Faso,61.2,BFA,17.3
Burundi,61.2,BDI,17
Guinea,61.2,GIN,20.1
Zimbabwe,61.2,ZWE,20
Angola,60.8,AGO,15.9
Togo,60.8,TGO,19.8
Dem. Rep. Congo,60.4,COD,18.6
Mozambique,60.2,MOZ,17.2
Eswatini,59.4,SWZ,21.7
Cameroon,58.9,CMR,18.5
Mali,58.9,MLI,15.8
Equatorial Guinea,58.4,GNQ,19.8
Guinea,58,GIN,18.9
S. Sudan,57.6,SSD,17.3
Ivory Coast,57.4,CIV,20.9
Somalia,56.7,SOM,18.1
Nigeria,54.3,NGA,18.4
Sierra Leone,54.3,SLE,19
Chad,54,TCD,17.8
Lesotho,53.7,LSO,24.2
Central African Rep.,52.8,CAF,19.7